targetId,comparatorId,outcomeId,outcomeName,type
2576,2577,381581,Chalazion,outcome
2576,2577,260134,Croup,outcome
2576,2577,441788,Human papilloma virus infection,outcome
2576,2577,139099,Ingrowing nail,outcome
2576,2577,4134455,Mononeuropathy,outcome
2576,2577,4215978,Onychomycosis,outcome
2576,2577,4112731,Polyp of intestine,outcome
2576,2577,140641,Verruca vulgaris,outcome
2576,2577,4332246,Aneurysm,outcome
2576,2577,432585,Blood coagulation disorder,outcome
2576,2577,440674,Gout,outcome
2576,2577,378416,Retinal disorder,outcome
2576,2577,4032878,Hair follicle disorder,outcome
2576,2577,194475,Hiccoughs,outcome
2576,2577,377910,Deviated nasal septum,outcome
2577,2550,381581,Chalazion,outcome
2577,2550,260134,Croup,outcome
2577,2550,441788,Human papilloma virus infection,outcome
2577,2550,139099,Ingrowing nail,outcome
2577,2550,4134455,Mononeuropathy,outcome
2577,2550,4215978,Onychomycosis,outcome
2577,2550,4112731,Polyp of intestine,outcome
2577,2550,140641,Verruca vulgaris,outcome
2577,2550,4332246,Aneurysm,outcome
2577,2550,432585,Blood coagulation disorder,outcome
2577,2550,440674,Gout,outcome
2577,2550,378416,Retinal disorder,outcome
2577,2550,4032878,Hair follicle disorder,outcome
2577,2550,194475,Hiccoughs,outcome
2577,2550,377910,Deviated nasal septum,outcome
2550,2576,381581,Chalazion,outcome
2550,2576,260134,Croup,outcome
2550,2576,441788,Human papilloma virus infection,outcome
2550,2576,139099,Ingrowing nail,outcome
2550,2576,4134455,Mononeuropathy,outcome
2550,2576,4215978,Onychomycosis,outcome
2550,2576,4112731,Polyp of intestine,outcome
2550,2576,140641,Verruca vulgaris,outcome
2550,2576,4332246,Aneurysm,outcome
2550,2576,432585,Blood coagulation disorder,outcome
2550,2576,440674,Gout,outcome
2550,2576,378416,Retinal disorder,outcome
2550,2576,4032878,Hair follicle disorder,outcome
2550,2576,194475,Hiccoughs,outcome
2550,2576,377910,Deviated nasal septum,outcome
2628,2626,381581,Chalazion,outcome
2628,2626,260134,Croup,outcome
2628,2626,441788,Human papilloma virus infection,outcome
2628,2626,139099,Ingrowing nail,outcome
2628,2626,4134455,Mononeuropathy,outcome
2628,2626,4215978,Onychomycosis,outcome
2628,2626,4112731,Polyp of intestine,outcome
2628,2626,140641,Verruca vulgaris,outcome
2628,2626,4332246,Aneurysm,outcome
2628,2626,432585,Blood coagulation disorder,outcome
2628,2626,440674,Gout,outcome
2628,2626,378416,Retinal disorder,outcome
2628,2626,4032878,Hair follicle disorder,outcome
2628,2626,194475,Hiccoughs,outcome
2628,2626,377910,Deviated nasal septum,outcome
2626,2624,381581,Chalazion,outcome
2626,2624,260134,Croup,outcome
2626,2624,441788,Human papilloma virus infection,outcome
2626,2624,139099,Ingrowing nail,outcome
2626,2624,4134455,Mononeuropathy,outcome
2626,2624,4215978,Onychomycosis,outcome
2626,2624,4112731,Polyp of intestine,outcome
