webApiCohortId,cohortId,cohortName
3459,3459,[sooj][HGB] DonepezilWithAntipsychotics (DRN)
3484,3484,[sooj] DonepezilWithoutAntipsychotics (gap day 30) 240715
2645,2645,[HGB] Hyperlipidemia (DRN)
2646,2646,[HGB] T2DM (DRN)
2651,2651,[HGB] Cardiomyopathy (DRN)
2652,2652,[HGB] Heart failure (DRN)
2653,2653,[HGB] Acute myocardial infarction (DRN)
2654,2654,[HGB] Angina (DRN)
2655,2655,[HGB] Cardiac arrest (DRN)
2656,2656,[HGB] hypertension (DRN)
2657,2657,[HGB] Acute myocarditis (DRN)
2658,2658,[HGB] stroke (DRN)
2663,2663,[HGB] gastrointestinal hemorrhage (DRN)
2664,2664,[HGB] Peptic ulcer (DRN)
2666,2666,[HGB] acute appendicitis (DRN)
2667,2667,[HGB] Chronic kidney disease (DRN)
2668,2668,[HGB] Acute renal failure (DRN)
2670,2670,[HGB] Urinary tract infection (DRN)
2671,2671,[HGB] Parkinsonism (DRN)
2672,2672,[HGB] anemia (DRN)
2674,2674,[HGB] pulmonary embolism (DRN)
2675,2675,[HGB] Acute respiratory failure (DRN)
2678,2678,[HGB] pneumonia (DRN)
2679,2679,[HGB] Osteoporosis (DRN)
2680,2680,[HGB] fracture (DRN)
2681,2681,[HGB] traumatic injury (DRN)
2682,2682,[HGB] suicidal event (DRN)
2685,2685,[HGB] sleep disorder (DRN)
2686,2686,[HGB] Headache (DRN)
2687,2687,[HGB] Seizure (DRN)
2689,2689,[HGB] Death (DRN)
2691,2691,[HGB] Depressive disorder (DRN)
3491,3491,[HGB] All Dementia ver0 (Outcome) (7)
3458,3458,[sooj][HGB] DonepezilWithPine (DRN)
3456,3456,[sooj][HGB] DonepezilWithApz (DRN)
3457,3457,[sooj][HGB] DonepezilWithDone (DRN)
2601,2601,[sooj] MPHWithAP (aripiprazole) (gap day 30)
3478,3478,[sooj] MPHWithoutAntipsychotics (gap day 30) 240715
2647,2647,[HGB] Hyperprolactinemia (DRN)
2648,2648,[HGB] Hypohyperthyroidism (DRN)
2649,2649,[HGB] Hyponatremia (DRN)
2659,2659,[HGB] abdominal pain_sx (DRN)
2660,2660,[HGB] constipation_sx (DRN)
2661,2661,[HGB] diarrhea_sx (DRN)
2662,2662,[HGB] nauseavomiting_sx (DRN)
2665,2665,[HGB] gastritis (DRN)
2669,2669,[HGB] polycystic ovarian syndrome (DRN)
2673,2673,[HGB] thrombocytopenia (DRN)
2676,2676,[HGB] Asthma (DRN)
2677,2677,[HGB] Nasopharyngitis_sx (DRN)
2683,2683,[HGB] Bipolar disorder (DRN)
2684,2684,[HGB] Psychotic disorder (DRN)
2688,2688,[HGB] Neuroleptic malignant syndrome (DRN)
2690,2690,[HGB] Tic disorder (DRN)
2650,2650,[HGB] Arrhythmia (DRN)
2600,2600,[sooj] MPHWithAP (risperidone) (gap day 30)
2539,2539,[sooj] MPHWithAntipsychotics (gap day 30)
3452,3452,[HGB] InpatientWithAP (DRN)
3490,3490,[HGB] InpatientWithoutAP (DRN) 240715
3454,3454,[HGB] All Dementia ver0 (Outcome) (3)
2599,2599,[sooj] MPHWithAP (olanzapine) (gap day 30)
3434,3434,[sooj][DRN] SSRIswithAntipsychotics (gap day 30) (All age groups)
3487,3487,[sooj] SSRIswithoutAntipsychotics (gap day 30) (All age groups) 240715
3435,3435,[sooj][DRN] SSRIWithAP (aripiprazole) (gap day 30) (All age groups)
3436,3436,[sooj][DRN] SSRIWithAP (risperidone) (gap day 30) (All age groups)
3437,3437,[sooj][DRN] SSRIWithAP (olanzapine) (gap day 30) (All age groups)
3432,3432,[sooj] SSRIswithAntipsychotics (gap day 30) (between 10 and 19)
3492,3492,[sooj] SSRIswithoutAntipsychotics (gap day 30) (between 10 and 19) 240715
3439,3439,[sooj][DRN] SSRIWithAP (aripiprazole) (gap day 30) (between 10 and 19)
3438,3438,[sooj][DRN] SSRIWithAP (olanzapine) (gap day 30) (between 10 and 19)
3443,3443,[sooj][DRN] SSRIWithAP (aripiprazole) (gap day 30) (between 20 and 59)
3493,3493,[sooj] SSRIswithoutAntipsychotics (gap day 30) (between 20 and 59) 240715
3442,3442,[sooj][DRN] SSRIWithAP (risperidone) (gap day 30) (between 20 and 59)
3461,3461,[sooj] SSRIswithAntipsychotics (gap day 30) (between 20 and 59)
3441,3441,[sooj][DRN] SSRIWithAP (olanzapine) (gap day 30) (between 20 and 59)
3444,3444,[sooj][DRN] SSRIWithAP (aripiprazole) (gap day 30) (over 60)
3494,3494,[sooj] SSRIswithoutAntipsychotics (gap day 30) (over 60) 240715
3445,3445,[sooj][DRN] SSRIWithAP (risperidone) (gap day 30) (over 60)
3446,3446,[sooj][DRN] SSRIWithAP (olanzapine) (gap day 30) (over 60)
3462,3462,[sooj] SSRIswithAntipsychotics (gap day 30) (over 60)
3440,3440,[sooj][DRN] SSRIWithAP (risperidone) (gap day 30) (between 10 and 19)
